Unique ID,District,Date,Measure,Longitude,Latitude,Time Period,Data Value,Air Quality
01BBF6AD,Mumbai,01-12-2010,NO2 (ppb),72.8777,19.076,Monthly,32,Moderate
00ED349D,Kolkata,01-10-2011,PM10 (µg/m³),88.3639,22.5726,Monthly,107,Poor
01EA78C9,Bengaluru,01-12-2008,PM10 (µg/m³),77.5946,12.9716,Monthly,178,Very Poor
0164FDF7,Chennai,01-08-2014,NO2 (ppb),80.2707,13.0827,Monthly,49,Moderate
0244B8FE,Chennai,01-07-2013,NO2 (ppb),80.2707,13.0827,Monthly,9,Good
01FF75BF,Delhi,01-04-2018,SO2 (ppb),77.1025,28.7041,Monthly,37,Moderate
00EF0055,Kolkata,01-02-2011,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,45,Good
01B78829,Bengaluru,01-12-2007,NO2 (ppb),77.5946,12.9716,Monthly,34,Moderate
014F4102,Bengaluru,01-05-2017,PM2.5 (µg/m³),77.5946,12.9716,Monthly,58,Moderate
00EC0414,Kolkata,01-12-2022,PM2.5 (µg/m³),88.3639,22.5726,Monthly,173,Very Poor
0083025A,Mumbai,01-05-2004,SO2 (ppb),72.8777,19.076,Monthly,44,Moderate
021B3031,Bengaluru,01-08-2009,PM2.5 (µg/m³),77.5946,12.9716,Monthly,65,Moderate
005503F2,Delhi,01-07-2020,PM10 (µg/m³),77.1025,28.7041,Monthly,51,Moderate
01146F20,Kolkata,01-04-2006,PM10 (µg/m³),88.3639,22.5726,Monthly,51,Moderate
012D24EC,Kolkata,01-01-2012,NO2 (ppb),88.3639,22.5726,Monthly,46,Moderate
007B4B38,Kolkata,01-12-2001,PM2.5 (µg/m³),88.3639,22.5726,Monthly,126,Poor
01261250,Kolkata,01-11-2022,PM2.5 (µg/m³),88.3639,22.5726,Monthly,110,Poor
00DA092A,Delhi,01-01-2014,PM10 (µg/m³),77.1025,28.7041,Monthly,91,Moderate
00F7CBA3,Kolkata,01-03-2002,PM10 (µg/m³),88.3639,22.5726,Monthly,162,Very Poor
023AB271,Chennai,01-04-2022,NO2 (ppb),80.2707,13.0827,Monthly,25,Good
00E10510,Mumbai,01-10-2002,SO2 (ppb),72.8777,19.076,Monthly,23,Good
00DBDE76,Bengaluru,01-10-2005,NO2 (ppb),77.5946,12.9716,Monthly,26,Good
010050CE,Kolkata,01-03-2021,PM2.5 (µg/m³),88.3639,22.5726,Monthly,186,Very Poor
01546AF2,Chennai,01-12-2022,PM10 (µg/m³),80.2707,13.0827,Monthly,127,Poor
0189481F,Kolkata,01-02-2013,PM2.5 (µg/m³),88.3639,22.5726,Monthly,57,Moderate
0158BA6D,Bengaluru,01-01-2006,PM2.5 (µg/m³),77.5946,12.9716,Monthly,143,Poor
010D1BCD,Mumbai,01-11-2020,SO2 (ppb),72.8777,19.076,Monthly,50,Moderate
026ABD08,Mumbai,01-02-2014,PM2.5 (µg/m³),72.8777,19.076,Monthly,138,Poor
00AD10C1,Bengaluru,01-02-2014,PM10 (µg/m³),77.5946,12.9716,Monthly,85,Moderate
02842703,Mumbai,01-08-2007,PM2.5 (µg/m³),72.8777,19.076,Monthly,170,Very Poor
017914E7,Mumbai,01-07-2007,PM2.5 (µg/m³),72.8777,19.076,Monthly,149,Poor
00604AF6,Bengaluru,01-11-2001,SO2 (ppb),77.5946,12.9716,Monthly,37,Moderate
01C7481B,Delhi,01-12-2020,"Ozone (O3, ppb)",77.1025,28.7041,Monthly,38,Good
01EFA687,Kolkata,01-05-2013,SO2 (ppb),88.3639,22.5726,Monthly,24,Good
00B57E47,Bengaluru,01-11-2012,PM10 (µg/m³),77.5946,12.9716,Monthly,115,Poor
00CEDCDB,Bengaluru,01-06-2021,PM2.5 (µg/m³),77.5946,12.9716,Monthly,102,Poor
0130AFCE,Chennai,01-12-2007,"Ozone (O3, ppb)",80.2707,13.0827,Monthly,20,Good
019F46CD,Delhi,01-02-2011,PM10 (µg/m³),77.1025,28.7041,Monthly,133,Poor
021EEB37,Mumbai,01-12-2011,"Ozone (O3, ppb)",72.8777,19.076,Monthly,65,Moderate
01701B02,Delhi,01-09-2018,PM10 (µg/m³),77.1025,28.7041,Monthly,50,Moderate
00017E19,Kolkata,01-09-2019,PM10 (µg/m³),88.3639,22.5726,Monthly,156,Very Poor
01FB8D9E,Chennai,01-06-2017,PM2.5 (µg/m³),80.2707,13.0827,Monthly,176,Very Poor
003A7416,Kolkata,01-01-2016,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,21,Good
00C72814,Bengaluru,01-11-2005,PM2.5 (µg/m³),77.5946,12.9716,Monthly,139,Poor
01E3D28A,Mumbai,01-09-2004,"Ozone (O3, ppb)",72.8777,19.076,Monthly,34,Good
017970AC,Chennai,01-07-2022,PM2.5 (µg/m³),80.2707,13.0827,Monthly,126,Poor
003B7FE0,Chennai,01-03-2016,PM10 (µg/m³),80.2707,13.0827,Monthly,61,Moderate
022CCB62,Delhi,01-08-2015,SO2 (ppb),77.1025,28.7041,Monthly,21,Good
00142C5A,Mumbai,01-06-2015,"Ozone (O3, ppb)",72.8777,19.076,Monthly,46,Good
003D5558,Bengaluru,01-01-2016,"Ozone (O3, ppb)",77.5946,12.9716,Monthly,47,Good
017564DB,Bengaluru,01-08-2017,"Ozone (O3, ppb)",77.5946,12.9716,Monthly,48,Good
0064EB66,Kolkata,01-12-2020,PM10 (µg/m³),88.3639,22.5726,Monthly,74,Moderate
018B367F,Bengaluru,01-08-2012,NO2 (ppb),77.5946,12.9716,Monthly,37,Moderate
00AFEE76,Bengaluru,01-03-2006,PM2.5 (µg/m³),77.5946,12.9716,Monthly,140,Poor
0160F0C7,Chennai,01-12-2010,PM10 (µg/m³),80.2707,13.0827,Monthly,131,Poor
01A5895A,Bengaluru,01-06-2006,PM10 (µg/m³),77.5946,12.9716,Monthly,115,Poor
007481B0,Chennai,01-03-2006,NO2 (ppb),80.2707,13.0827,Monthly,15,Good
00A7A002,Delhi,01-12-2021,"Ozone (O3, ppb)",77.1025,28.7041,Monthly,24,Good
01E393BB,Mumbai,01-01-2022,PM2.5 (µg/m³),72.8777,19.076,Monthly,107,Poor
00794DF7,Delhi,01-12-2005,SO2 (ppb),77.1025,28.7041,Monthly,9,Good
0157C443,Mumbai,01-07-2001,SO2 (ppb),72.8777,19.076,Monthly,50,Moderate
01A8391C,Delhi,01-06-2010,NO2 (ppb),77.1025,28.7041,Monthly,22,Good
004940C3,Bengaluru,01-04-2015,PM10 (µg/m³),77.5946,12.9716,Monthly,158,Very Poor
003EE43D,Kolkata,01-05-2011,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,82,Moderate
006C13DA,Bengaluru,01-08-2002,SO2 (ppb),77.5946,12.9716,Monthly,39,Moderate
02135A16,Chennai,01-01-2010,NO2 (ppb),80.2707,13.0827,Monthly,37,Moderate
0111F5A3,Mumbai,01-04-2001,PM10 (µg/m³),72.8777,19.076,Monthly,126,Poor
01B3B0A9,Bengaluru,01-04-2002,"Ozone (O3, ppb)",77.5946,12.9716,Monthly,42,Good
014FBB0A,Mumbai,01-04-2007,PM2.5 (µg/m³),72.8777,19.076,Monthly,71,Moderate
00BD5C22,Kolkata,01-10-2000,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,98,Moderate
014E0D7F,Kolkata,01-03-2000,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,27,Good
013102B1,Chennai,01-01-2013,SO2 (ppb),80.2707,13.0827,Monthly,25,Good
021535A4,Kolkata,01-09-2014,PM2.5 (µg/m³),88.3639,22.5726,Monthly,77,Moderate
00B51973,Mumbai,01-06-2023,NO2 (ppb),72.8777,19.076,Monthly,23,Good
0223EFF1,Delhi,01-03-2007,PM2.5 (µg/m³),77.1025,28.7041,Monthly,145,Poor
028E3A71,Delhi,01-05-2002,PM2.5 (µg/m³),77.1025,28.7041,Monthly,130,Poor
00275230,Chennai,01-11-2018,"Ozone (O3, ppb)",80.2707,13.0827,Monthly,34,Good
01723D0D,Kolkata,01-01-2015,PM2.5 (µg/m³),88.3639,22.5726,Monthly,122,Poor
026C4C64,Kolkata,01-08-2006,SO2 (ppb),88.3639,22.5726,Monthly,21,Good
0217C554,Delhi,01-10-2011,SO2 (ppb),77.1025,28.7041,Monthly,41,Moderate
014BF43E,Bengaluru,01-12-2012,PM10 (µg/m³),77.5946,12.9716,Monthly,194,Very Poor
0059F9C2,Delhi,01-05-2012,"Ozone (O3, ppb)",77.1025,28.7041,Monthly,83,Moderate
00A908EF,Delhi,01-09-2021,SO2 (ppb),77.1025,28.7041,Monthly,48,Moderate
01008643,Bengaluru,01-12-2010,"Ozone (O3, ppb)",77.5946,12.9716,Monthly,45,Good
0132C22B,Delhi,01-08-2021,NO2 (ppb),77.1025,28.7041,Monthly,10,Good
012E6C9F,Mumbai,01-02-2003,PM2.5 (µg/m³),72.8777,19.076,Monthly,152,Very Poor
027C588B,Mumbai,01-01-2003,NO2 (ppb),72.8777,19.076,Monthly,37,Moderate
00DCED15,Chennai,01-12-2023,PM2.5 (µg/m³),80.2707,13.0827,Monthly,61,Moderate
00E3D44F,Delhi,01-06-2007,"Ozone (O3, ppb)",77.1025,28.7041,Monthly,49,Good
008D3569,Delhi,01-11-2019,NO2 (ppb),77.1025,28.7041,Monthly,34,Moderate
02412344,Kolkata,01-01-2011,PM2.5 (µg/m³),88.3639,22.5726,Monthly,198,Very Poor
02056DF1,Bengaluru,01-07-2003,"Ozone (O3, ppb)",77.5946,12.9716,Monthly,83,Moderate
00836E56,Chennai,01-09-2002,SO2 (ppb),80.2707,13.0827,Monthly,20,Good
02899A4F,Bengaluru,01-01-2008,PM10 (µg/m³),77.5946,12.9716,Monthly,77,Moderate
012B2DA3,Kolkata,01-12-2012,PM2.5 (µg/m³),88.3639,22.5726,Monthly,101,Poor
00D2085F,Mumbai,01-04-2000,NO2 (ppb),72.8777,19.076,Monthly,11,Good
00440C22,Bengaluru,01-08-2005,"Ozone (O3, ppb)",77.5946,12.9716,Monthly,53,Good
023B3084,Kolkata,01-03-2019,NO2 (ppb),88.3639,22.5726,Monthly,35,Moderate
00F3A410,Mumbai,01-11-2021,"Ozone (O3, ppb)",72.8777,19.076,Monthly,50,Good
0099F5ED,Kolkata,01-04-2001,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,31,Good
016C18F5,Bengaluru,01-07-2023,PM2.5 (µg/m³),77.5946,12.9716,Monthly,176,Very Poor
0134D3F9,Kolkata,01-10-2018,NO2 (ppb),88.3639,22.5726,Monthly,48,Moderate
02666DCE,Chennai,01-03-2004,NO2 (ppb),80.2707,13.0827,Monthly,33,Moderate
00497DDE,Chennai,01-02-2015,SO2 (ppb),80.2707,13.0827,Monthly,14,Good
00551677,Bengaluru,01-10-2023,NO2 (ppb),77.5946,12.9716,Monthly,14,Good
0213E7C1,Bengaluru,01-12-2003,SO2 (ppb),77.5946,12.9716,Monthly,24,Good
02399E36,Mumbai,01-04-2020,SO2 (ppb),72.8777,19.076,Monthly,35,Moderate
026A97C3,Delhi,01-04-2006,SO2 (ppb),77.1025,28.7041,Monthly,46,Moderate
0090B6E7,Kolkata,01-08-2003,"Ozone (O3, ppb)",88.3639,22.5726,Monthly,21,Good
02886C55,Kolkata,01-08-2015,PM10 (µg/m³),88.3639,22.5726,Monthly,87,Moderate
01068A2D,Chennai,01-12-2009,NO2 (ppb),80.2707,13.0827,Monthly,9,Good
0196B327,Kolkata,01-03-2007,PM10 (µg/m³),88.3639,22.5726,Monthly,187,Very Poor
0284E573,Chennai,01-12-2012,PM10 (µg/m³),80.2707,13.0827,Monthly,90,Moderate
00E6FB5A,Chennai,01-09-2005,PM2.5 (µg/m³),80.2707,13.0827,Monthly,129,Poor
009EC47B,Delhi,01-06-2021,"Ozone (O3, ppb)",77.1025,28.7041,Monthly,63,Moderate
00775797,Bengaluru,01-05-2003,PM10 (µg/m³),77.5946,12.9716,Monthly,92,Moderate
0014ED6A,Mumbai,01-02-2012,SO2 (ppb),72.8777,19.076,Monthly,14,Good
00EBA29E,Kolkata,01-03-2022,PM10 (µg/m³),88.3639,22.5726,Monthly,82,Moderate
01EED0A6,Delhi,01-12-2022,NO2 (ppb),77.1025,28.7041,Monthly,37,Moderate
